player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-322,1994,7.1,1,18,5,27.8,2.54,0.71,0.06,0.20,19.3,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,29-213,1994,10.9,1,10,6,60.0,0.92,0.55,0.10,0.17,29.4,4,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
Arthur,br BRA,DF,Leverkusen,20-284,2003,0.4,0,1,1,100.0,2.65,2.65,0.00,0.00,28.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Takuma Asano,jp JPN,"FW,MF",Bochum,29-046,1994,13.1,5,37,15,40.5,2.83,1.15,0.14,0.33,13.4,0,0,0,4.8,4.8,0.13,+0.2,+0.2,Matches
Noah Atubolu,de GER,GK,Freiburg,21-215,2002,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matthias Bader,de GER,"DF,MF",Darmstadt 98,26-192,1997,9.8,1,8,1,12.5,0.81,0.10,0.13,1.00,21.0,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
Ridle Baku,de GER,"DF,MF",Wolfsburg,25-262,1998,10.0,0,10,3,30.0,1.00,0.30,0.00,0.00,16.1,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Samuel Bamba,de GER,FW,Dortmund,19-316,2004,0.5,0,2,0,0.0,3.83,0.00,0.00,,12.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
Aymen Barkok,ma MAR,"MF,FW",Mainz 05,25-219,1998,3.6,1,11,6,54.5,3.08,1.68,0.09,0.17,17.2,0,0,1,1.7,0.9,0.08,-0.7,+0.1,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23-357,2000,13.9,2,17,5,29.4,1.22,0.36,0.12,0.40,14.4,0,0,0,2.1,2.1,0.13,-0.1,-0.1,Matches
Daniel Batz,de GER,GK,Mainz 05,32-348,1991,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Maximilian Bauer,de GER,DF,Augsburg,23-320,2000,5.5,1,4,1,25.0,0.73,0.18,0.25,1.00,5.2,0,0,0,1.4,1.4,0.34,-0.4,-0.4,Matches
Elias Baum,de GER,"MF,DF",Eint Frankfurt,18-061,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Oliver Baumann,de GER,GK,Hoffenheim,33-207,1990,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Christoph Baumgartner,at AUT,MF,RB Leipzig,24-147,1999,6.9,3,19,6,31.6,2.75,0.87,0.16,0.50,15.2,0,0,0,2.2,2.2,0.12,+0.8,+0.8,Matches
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,29-247,1994,8.0,3,12,3,25.0,1.50,0.37,0.25,1.00,19.1,0,0,0,1.8,1.8,0.15,+1.2,+1.2,Matches
Adrian Beck,de GER,MF,Heidenheim,26-200,1997,6.3,0,9,2,22.2,1.43,0.32,0.00,0.00,11.2,0,0,0,1.6,1.6,0.18,-1.6,-1.6,Matches
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,28-320,1995,7.2,0,16,4,25.0,2.23,0.56,0.00,0.00,20.5,1,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
Kevin Behrens,de GER,FW,Union Berlin,32-326,1991,12.1,4,35,11,31.4,2.90,0.91,0.11,0.36,11.2,0,0,0,5.0,5.0,0.14,-1.0,-1.0,Matches
Maximilian Beier,de GER,FW,Hoffenheim,21-070,2002,10.5,6,32,17,53.1,3.05,1.62,0.19,0.35,15.1,0,0,0,4.5,4.5,0.14,+1.5,+1.5,Matches
Stefan Bell,de GER,DF,Mainz 05,32-124,1991,7.4,0,4,2,50.0,0.54,0.27,0.00,0.00,16.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Ramy Bensebaini,dz ALG,DF,Dortmund,28-254,1995,11.1,0,15,0,0.0,1.35,0.00,0.00,,17.3,0,0,0,1.6,1.6,0.10,-1.6,-1.6,Matches
Mergim Berisha,de GER,FW,Hoffenheim,25-229,1998,1.6,0,6,1,16.7,3.75,0.62,0.00,0.00,16.2,1,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Mergim Berisha,de GER,FW,Augsburg,25-229,1998,1.4,0,5,0,0.0,3.69,0.00,0.00,,30.7,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Bernardo,br BRA,DF,Bochum,28-226,1995,16.0,1,14,5,35.7,0.88,0.31,0.07,0.20,12.2,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
Matúš Bero,sk SVK,"MF,FW",Bochum,28-111,1995,6.4,0,7,2,28.6,1.09,0.31,0.00,0.00,16.4,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,24-356,1999,13.0,5,22,9,40.9,1.69,0.69,0.23,0.56,22.5,6,0,1,2.2,1.4,0.06,+2.8,+3.6,Matches
Tom Bischof,de GER,"MF,FW",Hoffenheim,18-181,2005,1.6,0,1,0,0.0,0.62,0.00,0.00,,26.9,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Leonardo Bittencourt,de GER,MF,Werder Bremen,30-007,1993,8.4,1,13,1,7.7,1.55,0.12,0.08,1.00,18.8,0,0,0,1.4,1.4,0.10,-0.4,-0.4,Matches
Janis Blaswich,de GER,GK,RB Leipzig,32-238,1991,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Victor Boniface,ng NGA,FW,Leverkusen,23-003,2000,14.2,10,70,28,40.0,4.94,1.97,0.13,0.32,15.7,0,1,1,12.1,11.3,0.16,-2.1,-2.3,Matches
Leonardo Bonucci,it ITA,DF,Union Berlin,36-239,1987,5.1,1,0,0,,0.00,0.00,,,,0,1,1,0.8,0.0,,+0.2,0.0,Matches
Yvandro Borges Sanches,lu LUX,"MF,FW",M'Gladbach,19-216,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24-279,1999,5.4,0,2,1,50.0,0.37,0.18,0.00,0.00,10.3,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Rafael Borré,co COL,FW,Werder Bremen,28-102,1995,9.2,4,17,7,41.2,1.84,0.76,0.24,0.57,14.8,0,0,0,2.1,2.1,0.13,+1.9,+1.9,Matches
Julian Brandt,de GER,"MF,FW",Dortmund,27-238,1996,13.5,5,21,9,42.9,1.56,0.67,0.24,0.56,18.2,1,0,0,3.0,3.0,0.14,+2.0,+2.0,Matches
Tim Breithaupt,de GER,MF,Augsburg,21-322,2002,2.9,0,2,0,0.0,0.69,0.00,0.00,,26.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Maximilian Breunig,de GER,FW,Freiburg,23-134,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
John Brooks,us USA,DF,Hoffenheim,30-332,1993,12.0,1,8,2,25.0,0.67,0.17,0.13,0.50,8.2,0,0,0,2.0,2.0,0.25,-1.0,-1.0,Matches
Moritz Broschinski,de GER,"FW,MF",Bochum,23-094,2000,3.4,0,4,1,25.0,1.18,0.29,0.00,0.00,15.0,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
Alexander Brunst,de GER,GK,Darmstadt 98,28-172,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marius Bülter,de GER,"DF,FW",Hoffenheim,30-272,1993,8.7,1,15,4,26.7,1.72,0.46,0.07,0.25,18.2,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
Jonathan Burkardt,de GER,"MF,FW",Mainz 05,23-168,2000,2.1,0,4,0,0.0,1.93,0.00,0.00,,13.0,0,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches
Oliver Burke,sct SCO,FW,Werder Bremen,26-263,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marnon Busch,de GER,DF,Heidenheim,29-018,1994,3.2,0,4,1,25.0,1.27,0.32,0.00,0.00,26.4,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Aurélio Buta,pt POR,"DF,MF",Eint Frankfurt,26-319,1997,10.5,1,7,3,42.9,0.67,0.29,0.14,0.33,17.9,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
Jamie Bynoe-Gittens,eng ENG,"FW,DF",Dortmund,19-140,2004,4.4,1,18,7,38.9,4.08,1.59,0.06,0.14,17.7,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
Anthony Caci,fr FRA,DF,Mainz 05,26-178,1997,12.8,2,14,2,14.3,1.10,0.16,0.14,1.00,18.9,0,0,0,0.5,0.5,0.04,+1.5,+1.5,Matches
Emre Can,de GER,MF,Dortmund,29-348,1994,10.6,1,4,0,0.0,0.38,0.00,0.00,,31.9,0,1,1,0.9,0.1,0.02,+0.1,-0.1,Matches
Irvin Cardona,fr FRA,"MF,DF",Augsburg,26-140,1997,0.6,0,3,0,0.0,5.00,0.00,0.00,,14.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
