player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
Ryan Gravenberch,nl NED,FW,Bayern Munich,21-140,2002,0.1,3,27.00,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Michael Gregoritsch,at AUT,FW,Freiburg,29-168,1994,2.0,9,4.55,5,0,1,2,1,0,1,0.51,0,0,0,1,0,0,Matches
Vincenzo Grifo,it ITA,"MF,FW",Freiburg,30-179,1993,5.1,24,4.71,13,8,1,2,0,0,4,0.78,1,2,0,1,0,0,Matches
Florian Grillitsch,at AUT,MF,Hoffenheim,28-057,1995,4.6,12,2.58,9,0,1,2,0,0,2,0.43,1,0,0,1,0,0,Matches
Álex Grimaldo,es ESP,DF,Leverkusen,28-013,1995,5.9,17,2.87,12,0,1,2,2,0,6,1.01,2,0,0,2,2,0,Matches
Christian Groß,de GER,"MF,DF",Werder Bremen,34-237,1989,3.9,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Brajan Gruda,de GER,"MF,FW",Mainz 05,19-125,2004,2.4,15,6.31,8,1,2,1,3,0,0,0.00,0,0,0,0,0,0,Matches
Ilia Gruev,bg BUL,MF,Werder Bremen,23-150,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Raphaël Guerreiro,pt POR,MF,Bayern Munich,29-285,1993,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Serhou Guirassy,gn GUI,FW,Stuttgart,27-205,1996,5.8,21,3.63,16,0,4,0,1,0,4,0.69,1,0,3,0,0,0,Matches
Manuel Gulde,de GER,DF,Freiburg,32-233,1991,1.1,1,0.91,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Robert Gumny,pl POL,DF,Augsburg,25-121,1998,0.2,2,8.57,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Christian Günter,de GER,DF,Freiburg,30-217,1993,1.0,5,5.06,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Janik Haberer,de GER,MF,Union Berlin,29-184,1994,2.0,7,3.46,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Robin Hack,de GER,MF,M'Gladbach,25-037,1998,0.9,2,2.25,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sébastien Haller,ci CIV,FW,Dortmund,29-103,1994,3.3,9,2.73,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Andreas Hanche-Olsen,no NOR,DF,Mainz 05,26-259,1997,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Genki Haraguchi,jp JPN,MF,Stuttgart,32-147,1991,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Makoto Hasebe,jp JPN,DF,Eint Frankfurt,39-258,1984,0.3,1,3.46,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Thorgan Hazard,be BEL,DF,Dortmund,30-188,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Dominique Heintz,de GER,DF,Köln,30-049,1993,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Benjamin Henrichs,de GER,DF,RB Leipzig,26-222,1997,5.9,11,1.86,10,0,0,0,0,1,1,0.17,1,0,0,0,0,0,Matches
Piero Hincapié,ec ECU,"DF,MF",Leverkusen,21-267,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Adam Hložek,cz CZE,"FW,MF",Leverkusen,21-070,2002,0.5,2,4.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nicolas Höfler,de GER,MF,Freiburg,33-208,1990,2.9,9,3.10,6,0,0,2,0,1,1,0.34,1,0,0,0,0,0,Matches
Jonas Hofmann,de GER,MF,Leverkusen,31-081,1992,5.8,27,4.66,22,3,0,1,1,0,5,0.86,2,2,0,0,1,0,Matches
Philipp Hofmann,de GER,FW,Bochum,30-187,1993,4.2,11,2.61,10,0,0,0,1,0,1,0.24,1,0,0,0,0,0,Matches
Lucas Höler,de GER,"FW,MF",Freiburg,29-085,1994,5.7,14,2.48,12,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Fabian Holland,de GER,"MF,DF",Darmstadt 98,33-084,1990,5.6,13,2.31,11,1,1,0,0,0,3,0.53,2,1,0,0,0,0,Matches
Benedict Hollerbach,de GER,"MF,FW",Union Berlin,22-139,2001,0.8,3,3.91,1,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Franck Honorat,fr FRA,"DF,FW",M'Gladbach,27-053,1996,4.7,32,6.87,18,13,0,0,1,0,1,0.21,0,1,0,0,0,0,Matches
Mathias Honsak,at AUT,"MF,FW",Darmstadt 98,26-287,1996,2.7,3,1.11,2,0,0,1,0,0,1,0.37,0,0,0,1,0,0,Matches
Fraser Hornby,sct SCO,"FW,MF",Darmstadt 98,24-020,1999,1.5,6,3.91,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lukáš Hrádecký,fi FIN,GK,Leverkusen,33-313,1989,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Timo Hübers,de GER,DF,Köln,27-075,1996,6.0,5,0.83,3,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Mats Hummels,de GER,DF,Dortmund,34-291,1988,4.5,5,1.11,4,0,0,1,0,0,1,0.22,0,0,0,1,0,0,Matches
Denis Huseinbasic,de GER,MF,Köln,22-092,2001,2.5,1,0.39,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Iago,br BRA,DF,Augsburg,26-194,1997,2.1,2,0.94,2,0,0,0,0,0,1,0.47,1,0,0,0,0,0,Matches
Thomas Isherwood,se SWE,DF,Darmstadt 98,25-248,1998,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ko Itakura,jp JPN,DF,M'Gladbach,26-249,1997,5.8,2,0.35,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Hiroki Ito,jp JPN,DF,Stuttgart,24-144,1999,5.8,16,2.74,14,0,0,2,0,0,3,0.51,3,0,0,0,0,0,Matches
Lee Jae-sung,kr KOR,MF,Mainz 05,31-054,1992,4.9,10,2.05,7,0,1,0,1,1,1,0.20,1,0,0,0,0,0,Matches
Paul Jaeckel,de GER,"DF,MF",Union Berlin,25-073,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kristijan Jakić,hr CRO,MF,Eint Frankfurt,26-142,1997,1.7,1,0.58,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tony Jantschke,de GER,"DF,MF",M'Gladbach,33-179,1990,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Fredrik Jensen,fi FIN,MF,Augsburg,26-024,1997,0.6,3,5.00,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Moritz Jenz,de GER,DF,Wolfsburg,24-156,1999,2.0,2,1.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Anthony Jung,de GER,"FW,DF",Werder Bremen,31-334,1991,3.5,6,1.72,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Josip Juranović,hr CRO,"DF,MF",Union Berlin,28-048,1995,3.0,18,6.04,3,13,1,0,1,0,3,1.01,0,2,0,0,1,0,Matches
Julian Justvan,de GER,"MF,FW",Hoffenheim,25-184,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ozan Kabak,tr TUR,DF,Hoffenheim,23-192,2000,4.7,4,0.85,2,0,0,2,0,0,1,0.21,1,0,0,0,0,0,Matches
Pavel Kadeřábek,cz CZE,"DF,MF",Hoffenheim,31-161,1992,4.0,7,1.75,5,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Florian Kainz,at AUT,MF,Köln,30-344,1992,5.1,23,4.55,14,6,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Jakub Kamiński,pl POL,FW,Wolfsburg,21-120,2002,0.7,2,2.81,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kevin Kampl,si SVN,MF,RB Leipzig,32-359,1990,5.0,10,1.99,9,0,1,0,0,0,2,0.40,2,0,0,0,0,0,Matches
Harry Kane,eng ENG,FW,Bayern Munich,30-067,1993,5.8,14,2.40,9,0,2,0,3,0,3,0.51,3,0,0,0,0,0,Matches
Atakan Karazor,de GER,MF,Stuttgart,26-355,1996,5.5,11,1.99,11,0,0,0,0,0,3,0.54,3,0,0,0,0,0,Matches
Emir Karic,at AUT,DF,Darmstadt 98,26-116,1997,3.7,6,1.61,5,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Silas Katompa,cd COD,FW,Stuttgart,24-362,1998,3.9,11,2.83,7,0,2,2,0,0,2,0.51,1,0,0,1,0,0,Matches
Mikkel Kaufmann,dk DEN,"FW,DF",Union Berlin,22-273,2001,0.4,1,2.31,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Naby Keïta,gn GUI,MF,Werder Bremen,28-235,1995,0.3,1,3.91,1,0,0,0,0,0,1,3.91,1,0,0,0,0,0,Matches
Yannik Keitel,de GER,MF,Freiburg,23-230,2000,1.4,2,1.43,2,0,0,0,0,0,1,0.71,1,0,0,0,0,0,Matches
Thomas Keller,de GER,"MF,FW",Heidenheim,24-059,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Aljoscha Kemlein,de GER,MF,Union Berlin,19-062,2004,0.3,1,3.10,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tobias Kempe,de GER,MF,Darmstadt 98,34-098,1989,2.3,14,6.00,7,6,0,0,1,0,4,1.71,2,1,0,0,1,0,Matches
