player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Jean-Paul Boëtius,nl NED,MF,Mainz 05,25,1994,25.2,690,923,74.8,11332,3789,362,432,83.8,208,263,79.1,82,130,63.1,5,3.5,2.6,+1.5,36,92,23,1,128,Matches
Melayro Bogarde,nl NED,DF,Hoffenheim,17,2002,0.6,29,36,80.6,417,74,18,19,94.7,8,9,88.9,3,7,42.9,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Dennis Borkowski,de GER,FW,RB Leipzig,17,2002,0.1,2,4,50.0,14,3,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Robin Bormuth,de GER,DF,Düsseldorf,23,1995,2.0,58,72,80.6,1270,367,17,19,89.5,30,34,88.2,11,18,61.1,0,0.0,0.0,0.0,0,2,0,0,3,Matches
Sebastiaan Bornauw,be BEL,DF,Köln,20,1999,27.2,1008,1248,80.8,22297,8880,231,263,87.8,601,657,91.5,169,289,58.5,0,0.6,0.9,-0.6,5,53,4,3,76,Matches
Brandon Borrello,au AUS,"MF,FW",Freiburg,24,1995,3.3,50,68,73.5,777,81,25,34,73.5,24,29,82.8,1,3,33.3,0,0.1,0.3,-0.1,2,2,0,0,2,Matches
Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,20,1999,4.7,106,137,77.4,1774,384,46,51,90.2,49,58,84.5,7,12,58.3,0,0.1,0.3,-0.1,4,6,0,0,8,Matches
Dedryck Boyata,be BEL,DF,Hertha BSC,28,1990,27.1,1226,1373,89.3,26484,7910,290,319,90.9,741,800,92.6,190,234,81.2,1,0.8,1.0,+0.2,2,41,1,0,52,Matches
Can Bozdogan,de GER,MF,Schalke 04,18,2001,2.6,52,74,70.3,814,234,27,31,87.1,16,20,80.0,5,13,38.5,0,0.0,0.0,0.0,1,11,0,0,12,Matches
Julian Brandt,de GER,"MF,FW",Dortmund,23,1996,24.5,1370,1670,82.0,22402,4944,697,803,86.8,451,522,86.4,153,197,77.7,7,5.4,5.1,+1.6,39,119,37,0,188,Matches
Josip Brekalo,hr CRO,"MF,FW",Wolfsburg,21,1998,18.6,564,826,68.3,9474,3130,266,349,76.2,197,251,78.5,67,134,50.0,4,5.8,4.8,-1.8,51,48,34,7,89,Matches
John Brooks,us USA,DF,Wolfsburg,26,1993,24.7,1008,1235,81.6,22020,8047,243,300,81.0,595,668,89.1,157,241,65.1,1,1.7,0.8,-0.7,6,58,2,0,81,Matches
Daniel Brosinski,de GER,DF,Mainz 05,31,1988,19.0,662,1073,61.7,13703,7332,244,295,82.7,273,413,66.1,135,311,43.4,4,6.0,5.4,-2.0,55,42,33,9,77,Matches
Jeffrey Bruma,nl NED,DF,Wolfsburg,27,1991,9.0,269,324,83.0,5477,1881,64,77,83.1,167,188,88.8,32,44,72.7,0,0.0,0.0,0.0,0,5,0,0,13,Matches
Jeffrey Bruma,nl NED,DF,Mainz 05,27,1991,7.5,272,318,85.5,5523,2032,78,85,91.8,157,171,91.8,35,58,60.3,0,0.0,0.1,0.0,0,13,0,0,18,Matches
Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,20,1998,4.3,104,135,77.0,1598,321,54,58,93.1,41,48,85.4,6,12,50.0,1,1.9,1.9,-0.9,13,7,4,0,11,Matches
Jacob Bruun Larsen,dk DEN,FW,Dortmund,20,1998,0.8,22,28,78.6,296,33,14,16,87.5,6,8,75.0,1,2,50.0,1,0.5,0.5,+0.5,1,3,0,0,1,Matches
Marius Bülter,de GER,"MF,FW",Union Berlin,26,1993,25.8,379,639,59.3,5567,1699,211,271,77.9,123,210,58.6,22,79,27.8,1,3.8,2.5,-2.8,26,25,20,10,49,Matches
Guido Burgstaller,at AUT,FW,Schalke 04,30,1989,13.7,197,297,66.3,2416,602,117,159,73.6,55,72,76.4,3,9,33.3,1,1.1,1.1,-0.1,8,13,7,0,26,Matches
Jonathan Burkardt,de GER,"FW,MF",Mainz 05,19,2000,2.8,37,48,77.1,488,84,25,25,100.0,9,11,81.8,1,3,33.3,0,0.1,0.2,-0.1,1,2,1,0,3,Matches
Roman Bürki,ch SUI,GK,Dortmund,28,1990,30.8,834,1050,79.4,20475,13139,153,155,98.7,478,481,99.4,200,408,49.0,0,0.0,0.0,0.0,0,3,0,0,0,Matches
Daniel Caligiuri,it ITA,"MF,FW",Schalke 04,31,1988,25.5,626,1001,62.5,10228,4141,327,427,76.6,197,305,64.6,66,138,47.8,2,3.2,3.7,-1.2,40,60,27,2,105,Matches
Emre Can,de GER,"MF,DF",Dortmund,25,1994,10.6,636,730,87.1,11445,2950,267,297,89.9,282,300,94.0,69,99,69.7,0,0.5,0.3,-0.5,3,37,3,0,54,Matches
Koen Casteels,be BEL,GK,Wolfsburg,27,1992,26.0,721,979,73.6,22154,15598,98,98,100.0,324,326,99.4,297,544,54.6,0,0.0,0.1,0.0,1,14,0,0,0,Matches
Timothy Chandler,us USA,"DF,MF",Eint Frankfurt,29,1990,13.6,281,468,60.0,4988,2214,133,177,75.1,108,177,61.0,34,73,46.6,1,1.6,1.7,-0.6,12,18,19,15,46,Matches
Kwon Chang-hoon,kr KOR,"MF,FW",Freiburg,25,1994,7.5,192,272,70.6,3129,787,99,125,79.2,61,83,73.5,22,34,64.7,0,1.0,1.0,-1.0,12,14,10,5,29,Matches
Darko Churlinov,mk MKD,MF,Köln,19,2000,0.2,7,10,70.0,95,10,2,3,66.7,4,5,80.0,0,0,,0,0.1,0.1,-0.1,1,1,0,0,0,Matches
Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,32,1987,18.1,600,731,82.1,10711,3507,247,285,86.7,277,325,85.2,61,85,71.8,0,0.1,0.3,-0.1,2,53,3,1,75,Matches
Christian Clemens,de GER,FW,Köln,27,1991,0.2,2,4,50.0,48,23,1,2,50.0,0,0,,1,1,100.0,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
Jamilu Collins,ng NGA,DF,Paderborn 07,24,1994,29.6,1307,1770,73.8,21559,8757,643,742,86.7,516,652,79.1,114,239,47.7,2,1.4,1.2,+0.6,19,113,7,3,133,Matches
Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,23,1996,16.7,599,787,76.1,9217,1767,331,393,84.2,205,262,78.2,41,71,57.7,3,4.8,5.8,-1.8,33,28,36,7,75,Matches
Jhon Córdoba,co COL,FW,Köln,26,1993,22.2,317,423,74.9,4664,476,181,215,84.2,104,131,79.4,18,27,66.7,2,1.6,0.9,+0.4,25,16,6,1,24,Matches
Sergio Córdova,ve VEN,FW,Augsburg,21,1997,4.1,51,78,65.4,660,143,27,37,73.0,13,20,65.0,2,4,50.0,1,0.9,0.7,+0.1,4,6,1,0,7,Matches
Danny da Costa,de GER,"DF,FW",Eint Frankfurt,26,1993,15.4,417,636,65.6,7215,2901,202,255,79.2,162,240,67.5,43,82,52.4,4,4.2,3.9,-0.2,22,20,28,19,52,Matches
Philippe Coutinho,br BRA,"MF,FW",Bayern Munich,27,1992,15.7,691,857,80.6,10937,3134,364,412,88.3,231,270,85.6,65,105,61.9,6,4.0,3.4,+2.0,30,103,36,0,151,Matches
Mickaël Cuisance,fr FRA,"MF,FW",Bayern Munich,19,1999,3.4,155,193,80.3,2537,612,73,82,89.0,63,70,90.0,10,25,40.0,0,0.2,0.4,-0.2,5,13,4,1,17,Matches
Matheus Cunha,br BRA,"FW,MF",Hertha BSC,20,1999,8.3,108,170,63.5,2101,807,52,74,70.3,36,51,70.6,20,35,57.1,0,0.5,0.5,-0.5,8,19,6,1,21,Matches
Matheus Cunha,br BRA,"FW,MF",RB Leipzig,20,1999,3.1,75,97,77.3,1011,248,46,58,79.3,21,25,84.0,2,3,66.7,1,0.9,0.2,+0.1,4,5,5,0,12,Matches
Rafael Czichos,de GER,DF,Köln,29,1990,24.5,1002,1231,81.4,21052,9074,285,332,85.8,555,636,87.3,153,231,66.2,1,0.5,0.7,+0.5,7,65,3,0,83,Matches
