player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Ibrahima Konaté,fr FRA,DF,RB Leipzig,19,1999,27.0,44,32,30,14,0,17,27,63.0,10,29,18,11,58,102,126,0,Matches
Yevhen Konoplyanka,ua UKR,"FW,MF",Schalke 04,28,1989,7.3,2,0,0,0,2,2,4,50.0,2,6,0,6,3,5,3,0,Matches
Pascal Köpke,de GER,"FW,MF",Hertha BSC,22,1995,0.8,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,Matches
Julian Korb,de GER,DF,Hannover 96,26,1992,11.2,26,17,16,9,1,10,29,34.5,19,27,4,23,23,49,34,1,Matches
Filip Kostić,rs SRB,"DF,FW",Eint Frankfurt,25,1992,32.8,64,42,35,22,7,23,65,35.4,42,80,6,74,23,87,50,0,Matches
Dawid Kownacki,pl POL,"MF,FW",Düsseldorf,21,1997,6.4,13,6,9,3,1,7,16,43.8,9,8,0,8,2,15,8,0,Matches
Thomas Kraft,de GER,GK,Hertha BSC,30,1988,3.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,27,1991,26.6,9,4,1,5,3,4,26,15.4,22,15,3,12,8,17,13,0,Matches
Christoph Kramer,de GER,MF,M'Gladbach,27,1991,12.6,41,22,17,23,1,15,40,37.5,25,19,4,15,21,62,23,0,Matches
Max Kruse,de GER,"FW,MF",Werder Bremen,30,1988,31.5,17,5,2,13,2,6,38,15.8,32,16,1,15,8,25,6,2,Matches
Lukas Kübler,de GER,"DF,MF",Freiburg,25,1992,13.2,35,22,23,12,0,16,26,61.5,10,15,5,10,30,65,50,1,Matches
Yuya Kubo,jp JPN,"FW,MF",Nürnberg,24,1993,15.1,21,11,6,10,5,12,33,36.4,21,11,0,11,10,31,6,0,Matches
