player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Jadon Sancho,eng ENG,FW,Dortmund,17,2000,7.7,1,10,4,40.0,1.30,0.52,0.10,0.25,12.6,0,0,0,1.9,1.9,0.19,-0.9,-0.9,Matches
Lamine Sané,sn SEN,DF,Werder Bremen,30,1987,8.7,1,4,1,25.0,0.46,0.11,0.25,1.00,11.0,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
Salif Sané,sn SEN,DF,Hannover 96,26,1990,32.0,4,28,10,35.7,0.88,0.31,0.14,0.40,18.1,2,0,0,1.9,1.9,0.07,+2.1,+2.1,Matches
Douglas Santos,br BRA,DF,Hamburger SV,23,1994,26.4,1,22,7,31.8,0.83,0.26,0.05,0.14,27.5,1,0,0,1.0,1.0,0.05,0.0,0.0,Matches
Julian Schieber,de GER,"MF,FW",Hertha BSC,28,1989,0.6,0,1,0,0.0,1.61,0.00,0.00,,12.3,0,0,0,0.3,0.3,0.32,-0.3,-0.3,Matches
Sven Schipplock,de GER,"FW,MF",Hamburger SV,28,1988,3.8,0,5,2,40.0,1.33,0.53,0.00,0.00,13.3,0,0,0,0.8,0.8,0.17,-0.8,-0.8,Matches
Marcel Schmelzer,de GER,DF,Dortmund,29,1988,16.6,0,5,1,20.0,0.30,0.06,0.00,0.00,21.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Jonathan Schmid,fr FRA,"DF,FW",Augsburg,27,1990,16.4,0,23,6,26.1,1.41,0.37,0.00,0.00,20.3,3,0,0,1.7,1.7,0.08,-1.7,-1.7,Matches
Manuel Schmiedebach,de GER,MF,Hannover 96,28,1988,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Benno Schmitz,de GER,DF,RB Leipzig,22,1994,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alessandro Schöpf,at AUT,"DF,FW",Schalke 04,23,1994,9.0,0,9,3,33.3,1.00,0.33,0.00,0.00,24.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Nico Schulz,de GER,"FW,MF",Hoffenheim,24,1993,19.8,1,17,7,41.2,0.86,0.35,0.06,0.14,19.6,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
André Schürrle,de GER,FW,Dortmund,26,1990,13.7,1,35,11,31.4,2.55,0.80,0.03,0.09,17.4,0,0,1,4.1,3.4,0.10,-3.1,-2.4,Matches
Julian Schuster,de GER,"DF,MF",Freiburg,32,1985,14.5,0,12,1,8.3,0.83,0.07,0.00,0.00,31.2,8,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Pirmin Schwegler,ch SUI,MF,Hannover 96,30,1987,25.8,0,12,1,8.3,0.47,0.04,0.00,0.00,23.9,3,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Alexander Schwolow,de GER,GK,Freiburg,25,1992,32.3,0,1,0,0.0,0.03,0.00,0.00,,14.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Davie Selke,de GER,FW,Hertha BSC,22,1995,21.0,10,46,21,45.7,2.20,1.00,0.20,0.43,13.9,0,1,1,7.7,6.9,0.16,+2.3,+2.1,Matches
Suat Serdar,de GER,MF,Mainz 05,20,1997,18.9,2,39,13,33.3,2.06,0.69,0.05,0.15,23.4,0,0,0,1.7,1.7,0.04,+0.3,+0.3,Matches
Meritan Shabani,al ALB,FW,Bayern Munich,18,1999,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Vincent Sierro,ch SUI,"MF,FW",Freiburg,21,1995,2.4,0,4,0,0.0,1.69,0.00,0.00,,21.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Tobias Sippel,de GER,GK,M'Gladbach,29,1988,4.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yann Sommer,ch SUI,GK,M'Gladbach,28,1988,29.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Oliver Sorg,de GER,"DF,MF",Hannover 96,27,1990,18.7,0,7,0,0.0,0.37,0.00,0.00,,22.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Çağlar Söyüncü,tr TUR,DF,Freiburg,21,1996,23.9,1,9,3,33.3,0.38,0.13,0.11,0.33,21.3,1,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
Kostas Stafylidis,gr GRE,"FW,DF",Augsburg,23,1993,0.4,0,1,0,0.0,2.73,0.00,0.00,,27.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Benjamin Stambouli,fr FRA,"DF,MF",Schalke 04,26,1990,24.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Caleb Stanko,us USA,DF,Freiburg,24,1993,2.1,0,1,0,0.0,0.47,0.00,0.00,,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Niklas Stark,de GER,"DF,MF",Hertha BSC,22,1995,24.6,1,11,5,45.5,0.45,0.20,0.09,0.20,12.5,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches
Tom Starke,de GER,GK,Bayern Munich,36,1981,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Renato Steffen,ch SUI,"FW,MF",Wolfsburg,25,1991,7.3,0,5,1,20.0,0.68,0.14,0.00,0.00,15.4,0,0,0,0.7,0.7,0.14,-0.7,-0.7,Matches
Marc Stendera,de GER,MF,Eint Frankfurt,21,1995,4.1,0,8,1,12.5,1.94,0.24,0.00,0.00,23.4,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Pascal Stenzel,de GER,"MF,DF",Freiburg,21,1996,21.6,1,15,4,26.7,0.70,0.19,0.07,0.25,23.3,0,0,0,0.5,0.5,0.03,+0.5,+0.5,Matches
Lars Stindl,de GER,"FW,MF",M'Gladbach,28,1988,30.3,6,71,25,35.2,2.34,0.83,0.08,0.24,18.9,0,0,0,6.3,6.3,0.09,-0.3,-0.3,Matches
Valentin Stocker,ch SUI,MF,Hertha BSC,28,1989,0.6,0,3,2,66.7,5.19,3.46,0.00,0.00,27.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Tobias Strobl,de GER,MF,M'Gladbach,27,1990,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Neven Subotić,rs SRB,DF,Dortmund,28,1988,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Niklas Süle,de GER,DF,Bayern Munich,21,1995,21.4,2,18,7,38.9,0.84,0.33,0.11,0.29,13.1,0,0,0,1.5,1.5,0.09,+0.5,+0.5,Matches
Ádám Szalai,hu HUN,FW,Hoffenheim,29,1987,10.0,5,27,11,40.7,2.71,1.10,0.19,0.45,12.6,0,0,0,3.4,3.4,0.13,+1.6,+1.6,Matches
