player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
Christoph Daferner,de GER,FW,Freiburg,20,1998,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mahmoud Dahoud,de GER,MF,Dortmund,22,1996,14,7,697,7.7,1,0,1,1,0,0,2,0,1.2,1.2,1.0,2.2,20,53,15,0.13,0.00,0.13,0.13,0.13,0.16,0.12,0.28,0.16,0.28,Matches
Leon Dajaku,de GER,"DF,MF",Stuttgart,17,2001,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Danso,at AUT,DF,Augsburg,19,1998,18,13,"1,247",13.9,1,1,2,1,0,0,3,0,0.5,0.5,0.2,0.7,6,36,2,0.07,0.07,0.14,0.07,0.14,0.04,0.01,0.05,0.04,0.05,Matches
Palkó Dárdai,hu HUN,"FW,MF",Hertha BSC,19,1999,7,1,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,3,12,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13,Matches
Vladimír Darida,cz CZE,MF,Hertha BSC,27,1990,10,3,376,4.2,0,1,1,0,0,0,1,0,1.0,1.0,0.8,1.7,7,34,12,0.00,0.24,0.24,0.00,0.24,0.23,0.18,0.42,0.23,0.42,Matches
Alphonso Davies,ca CAN,"MF,FW",Bayern Munich,17,2000,6,0,80,0.9,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,1,1,7,1.13,0.00,1.13,1.13,1.13,0.15,0.00,0.15,0.15,0.15,Matches
Thomas Delaney,dk DEN,MF,Dortmund,26,1991,30,27,"2,283",25.4,3,5,8,3,0,0,7,0,2.4,2.4,3.2,5.6,21,126,32,0.12,0.20,0.32,0.12,0.32,0.09,0.13,0.22,0.09,0.22,Matches
Kerem Demirbay,de GER,MF,Hoffenheim,25,1993,26,24,"2,017",22.4,4,9,13,4,0,0,6,0,4.5,4.5,7.4,11.8,82,181,66,0.18,0.40,0.58,0.18,0.58,0.20,0.33,0.53,0.20,0.53,Matches
Diego Demme,de GER,MF,RB Leipzig,26,1991,26,24,"2,055",22.8,0,2,2,0,0,0,4,0,0.4,0.4,2.7,3.1,52,182,38,0.00,0.09,0.09,0.00,0.09,0.02,0.12,0.14,0.02,0.14,Matches
