player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,matches
Markus Schubert,de GER,GK,Schalke 04,21,1998,8.2,345,299,343,2,0,0,345,0,0,,0,,186,1073,733,0,0,0,0,0,161,0,Matches
Nico Schulz,de GER,"DF,MF",Dortmund,26,1993,6.6,518,16,121,249,152,14,518,14,9,64.3,5,35.7,295,1401,749,24,14,7,5,7,362,60,Matches
Alexander Schwolow,de GER,GK,Freiburg,27,1992,23.2,1056,897,1052,4,0,0,1056,0,0,,0,,576,3057,1655,0,0,0,2,0,496,0,Matches
Davie Selke,de GER,FW,Hertha BSC,24,1995,10.7,352,13,26,196,134,43,352,12,5,41.7,7,58.3,151,931,439,16,14,9,37,14,279,58,Matches
Davie Selke,de GER,FW,Werder Bremen,24,1995,5.1,194,2,15,104,80,23,194,8,2,25.0,6,75.0,118,500,142,8,4,5,17,12,160,44,Matches
Suat Serdar,de GER,MF,Schalke 04,22,1997,17.8,761,22,144,467,184,31,761,82,53,64.6,29,35.4,462,3028,1552,32,29,7,42,44,426,52,Matches
Khiry Shelton,us USA,FW,Paderborn 07,26,1993,0.4,9,0,2,3,4,2,9,1,1,100.0,0,0.0,8,39,8,0,2,0,3,1,8,1,Matches
André Silva,pt POR,FW,Eint Frankfurt,23,1995,17.5,677,5,27,292,369,93,676,35,17,48.6,18,51.4,384,1935,958,43,30,12,52,33,515,141,Matches
Sarpreet Singh,nz NZL,"FW,MF",Bayern Munich,20,1999,0.8,33,0,2,16,15,4,33,0,0,,0,,25,117,29,1,0,0,1,1,28,5,Matches
Daley Sinkgraven,nl NED,"DF,MF",Leverkusen,24,1995,10.1,838,36,218,505,120,4,838,19,13,68.4,6,31.6,449,2139,1026,18,15,1,11,6,563,29,Matches
Ellyes Skhiri,tn TUN,MF,Köln,24,1995,29.7,1744,69,451,1045,265,31,1744,32,22,68.8,10,31.3,909,4718,2189,27,22,2,44,39,997,49,Matches
Robert Skov,dk DEN,"DF,FW",Hoffenheim,23,1996,29.0,1653,66,399,694,581,70,1653,74,40,54.1,34,45.9,870,5226,2978,112,57,27,59,16,1014,159,Matches
Steven Skrzybski,de GER,"FW,MF",Düsseldorf,26,1992,5.9,203,4,22,80,104,16,203,13,5,38.5,8,61.5,113,730,234,10,6,3,12,14,137,48,Matches
Dennis Smarsch,de GER,GK,Hertha BSC,20,1999,1.7,75,62,75,0,0,0,75,0,0,,0,,32,211,122,0,0,0,0,0,38,0,Matches
Lasse Sobiech,de GER,DF,Köln,28,1991,1.0,52,6,24,21,7,2,52,0,0,,0,,16,74,19,0,0,0,0,0,16,1,Matches
Marcel Sobottka,de GER,MF,Düsseldorf,25,1994,7.8,297,16,93,174,33,6,297,6,3,50.0,3,50.0,145,589,166,2,4,0,15,4,164,10,Matches
Yann Sommer,ch SUI,GK,M'Gladbach,30,1988,34.0,1616,1252,1609,8,0,0,1616,1,1,100.0,0,0.0,1025,5164,2974,0,0,0,1,1,895,0,Matches
Djibril Sow,ch SUI,MF,Eint Frankfurt,22,1997,19.4,1106,23,210,621,284,28,1106,16,7,43.8,9,56.3,544,2985,1445,37,27,5,36,13,682,61,Matches
Dennis Srbeny,de GER,"FW,MF",Paderborn 07,25,1994,12.4,393,11,38,213,147,36,393,22,13,59.1,9,40.9,220,1045,460,14,16,4,46,14,276,42,Matches
Jerry St. Juste,nl NED,DF,Mainz 05,22,1996,23.5,1295,180,732,528,51,15,1295,12,10,83.3,2,16.7,734,3884,2124,12,10,1,20,7,727,5,Matches
Kostas Stafylidis,gr GRE,DF,Hoffenheim,25,1993,4.4,250,22,90,114,48,1,250,6,4,66.7,2,33.3,94,468,185,4,3,1,3,4,125,17,Matches
Benjamin Stambouli,fr FRA,DF,Schalke 04,28,1990,9.0,559,68,262,294,11,0,559,8,6,75.0,2,25.0,311,1830,1046,9,3,0,4,2,325,2,Matches
Niklas Stark,de GER,DF,Hertha BSC,24,1995,19.2,1101,123,531,539,37,18,1101,4,2,50.0,2,50.0,567,3127,1780,11,6,0,4,6,683,3,Matches
