player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Irvin Cardona,fr FRA,MF,Augsburg,26-056,1997,0.4,3,6,50.0,52,26,2,2,100.0,1,4,25.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Rasmus Carstensen,dk DEN,"FW,DF",Köln,22-357,2000,3.9,80,133,60.2,1240,538,42,59,71.2,32,46,69.6,4,13,30.8,0,0.7,1.3,-0.7,4,3,5,1,12,Matches
Fabio Carvalho,pt POR,MF,RB Leipzig,21-034,2002,1.2,38,45,84.4,436,128,28,29,96.6,9,12,75.0,0,2,0.0,0,0.0,0.0,0.0,0,4,1,0,4,Matches
Koen Casteels,be BEL,GK,Wolfsburg,31-100,1992,6.0,203,247,82.2,6141,4130,26,26,100.0,97,97,100.0,80,124,64.5,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Václav Černý,cz CZE,FW,Wolfsburg,25-351,1997,3.3,54,84,64.3,900,333,27,31,87.1,16,31,51.6,6,11,54.5,1,0.3,0.4,+0.7,3,10,3,0,8,Matches
Julian Chabot,de GER,DF,Köln,25-233,1998,5.9,266,316,84.2,4727,1931,112,121,92.6,132,150,88.0,19,39,48.7,0,0.1,0.1,-0.1,1,18,0,0,18,Matches
Fares Chaïbi,dz ALG,MF,Eint Frankfurt,20-309,2002,2.1,55,87,63.2,953,351,30,39,76.9,16,22,72.7,9,18,50.0,0,0.4,0.6,-0.4,4,6,3,1,7,Matches
Kingsley Coman,fr FRA,FW,Bayern Munich,27-112,1996,3.9,153,189,81.0,2427,494,77,89,86.5,61,69,88.4,7,13,53.8,1,1.9,2.3,-0.9,11,5,10,3,17,Matches
Danny da Costa,de GER,DF,Mainz 05,30-082,1993,2.3,78,126,61.9,1254,432,41,51,80.4,30,54,55.6,4,12,33.3,1,0.3,0.6,+0.7,3,5,3,3,7,Matches
Nicolas Cozza,fr FRA,DF,Wolfsburg,24-268,1999,0.7,36,53,67.9,562,210,20,26,76.9,13,17,76.5,3,7,42.9,0,0.0,0.1,0.0,1,7,1,1,6,Matches
