player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
John Brooks,us USA,DF,Hoffenheim,30-248,1993,5.5,7,4,3,3,1,3,9,33.3,6,8,2,6,12,19,42,1,Matches
Moritz Broschinski,de GER,"FW,MF",Bochum,23-010,2000,0.8,2,2,0,2,0,0,1,0.0,1,0,0,0,0,2,0,0,Matches
Marius Bülter,de GER,"DF,MF",Hoffenheim,30-188,1993,2.8,5,2,3,1,1,2,6,33.3,4,3,0,3,0,5,2,0,Matches
Oliver Burke,sct SCO,FW,Werder Bremen,26-179,1997,0.4,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,Matches
Marnon Busch,de GER,DF,Heidenheim,28-299,1994,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
Aurélio Buta,pt POR,DF,Eint Frankfurt,26-235,1997,3.5,5,5,3,1,1,3,6,50.0,3,3,0,3,1,6,9,0,Matches
Jamie Bynoe-Gittens,eng ENG,"DF,FW",Dortmund,19-056,2004,0.8,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,2,0,Matches
Anthony Caci,fr FRA,DF,Mainz 05,26-094,1997,6.0,8,2,5,3,0,5,10,50.0,5,6,2,4,5,13,4,0,Matches
Emre Can,de GER,MF,Dortmund,29-264,1994,3.9,9,6,3,5,1,3,7,42.9,4,7,0,7,3,12,5,0,Matches
Irvin Cardona,fr FRA,MF,Augsburg,26-056,1997,0.4,1,1,0,0,1,1,2,50.0,1,1,0,1,0,1,1,0,Matches
Rasmus Carstensen,dk DEN,"FW,DF",Köln,22-357,2000,3.9,13,7,4,7,2,8,11,72.7,3,8,0,8,3,16,2,0,Matches
Fabio Carvalho,pt POR,MF,RB Leipzig,21-034,2002,1.2,3,1,0,2,1,1,2,50.0,1,5,0,5,0,3,1,0,Matches
Koen Casteels,be BEL,GK,Wolfsburg,31-100,1992,6.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,4,0,Matches
Václav Černý,cz CZE,FW,Wolfsburg,25-351,1997,3.3,3,1,1,2,0,1,8,12.5,7,4,0,4,3,6,2,0,Matches
Julian Chabot,de GER,DF,Köln,25-233,1998,5.9,17,11,9,8,0,8,15,53.3,7,15,10,5,14,31,23,0,Matches
Fares Chaïbi,dz ALG,MF,Eint Frankfurt,20-309,2002,2.1,1,1,0,0,1,0,0,,0,5,0,5,0,1,2,0,Matches
