team_title,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,team_id,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def,games_played,season
Hoffenheim,79.954644,53.288005,74.650372,47.983984,308,239,70,52,62.956,13,12,9,51,26.666388,120,7797,894,9532,761,34,2018
Mainz 05,49.214245,62.803411000000004,46.941165,59.772791,211,244,46,57,39.3397,12,7,15,43,-12.831626000000002,125,9716,766,7259,752,34,2018
Nuernberg,35.371743,54.801146,30.825158,51.770046,148,259,26,68,35.1158,3,10,21,19,-20.944888000000002,234,10403,572,7444,828,34,2018
RasenBallsport Leipzig,68.246406,39.653422,62.942144,35.106988,245,160,63,29,63.0567,19,9,6,66,27.835156,136,9282,950,7252,782,34,2018
Schalke 04,46.618307,51.939163,39.798398,47.392663,168,184,37,55,44.1576,8,9,17,33,-7.594265,124,9555,865,7432,863,34,2018
VfB Stuttgart,37.3775347,62.698248,36.619756699999996,60.424928,153,260,32,70,31.9873,7,7,20,28,-23.8051713,133,9379,711,7499,714,34,2018
Werder Bremen,49.360428999999996,56.70904,46.32931,52.920239,233,206,58,49,44.3628,14,11,9,53,-6.590929,123,8561,788,9100,668,34,2018
Wolfsburg,49.490941,49.835679,45.702556,45.194779,181,182,62,50,47.0353,16,7,11,55,0.5077770000000004,131,7035,743,9084,746,34,2018
Augsburg,43.85645,59.119341999999996,40.067565,58.36173,133,223,45,63,39.7766,9,9,16,36,-18.294165,121,11195,707,5799,731,34,2019
Bayer Leverkusen,61.884305999999995,49.678883,60.369006,48.16341,230,158,61,44,54.6178,19,6,9,63,12.205595999999998,119,6398,832,13784,920,34,2019
Bayern Munich,92.851562,36.471658,88.304903,33.440558,407,119,100,32,77.3257,26,4,4,82,54.864345,117,6740,860,13474,702,34,2019
Borussia Dortmund,64.261664,42.0247142,62.746424,39.7517072,297,135,84,41,62.4827,21,6,7,69,22.9947168,129,8562,732,13859,818,34,2019
Borussia M.Gladbach,73.58177,46.053456,69.007018,44.538147,232,166,66,40,62.6315,20,5,9,65,24.468871,130,8751,809,10143,878,34,2019
Eintracht Frankfurt,58.3335652,50.926052999999996,56.8180952,48.652886,188,166,59,60,52.7225,13,6,15,45,8.165209200000001,132,8520,888,7999,667,34,2019
FC Cologne,49.277536,54.544334,46.246508999999996,49.997671,167,226,51,69,43.890299999999996,10,6,18,36,-3.751162,134,9223,866,7708,825,34,2019
Fortuna Duesseldorf,35.69057,64.448134,32.659862,60.659343,143,207,36,67,32.8686,6,12,16,30,-27.999481,233,10409,707,7752,696,34,2019
Freiburg,46.140809,63.370737,41.594398,60.311458,158,258,48,47,39.1515,13,9,12,48,-18.71706,135,8928,605,8237,730,34,2019
Hertha Berlin,44.298706,55.577932,42.025465,50.273578,151,241,48,59,39.5544,11,8,15,41,-8.248113,122,9951,761,7988,723,34,2019
Hoffenheim,56.660719,58.75116,53.629609,52.68954,201,230,53,53,45.8749,15,7,12,52,0.9400690000000003,120,8499,688,10315,821,34,2019
Mainz 05,46.189702,62.898024,43.916372,59.109234,181,242,44,65,39.15,11,4,19,37,-15.192862000000002,125,10016,801,6701,810,34,2019
Paderborn,38.46536,67.833868,35.434758,64.044988,113,295,37,74,28.6711,4,8,22,20,-28.61023,205,9909,791,8141,931,34,2019
RasenBallsport Leipzig,76.126563,37.584974,72.337779,36.069432,303,157,81,37,68.7067,18,12,4,66,36.268347,136,8975,851,10639,829,34,2019
Schalke 04,35.926041,54.22276,34.410498,49.676254,194,180,38,58,35.8382,9,12,13,39,-15.265756,124,8594,862,8157,859,34,2019
Union Berlin,41.577336,54.941872000000004,37.788534,51.910915,119,216,41,58,39.3247,12,5,17,41,-14.122380999999999,240,10601,852,6184,716,34,2019
Werder Bremen,37.738137,56.939854000000004,33.191644,56.182084,186,205,42,69,35.1185,8,7,19,31,-22.99044,123,9068,772,8585,833,34,2019
Wolfsburg,54.433489,41.906530000000004,51.40239,38.117894,192,171,48,46,55.6943,13,10,11,49,13.284495999999999,131,8688,905,7562,800,34,2019
Arminia Bielefeld,31.139688,58.981925000000004,29.601859,54.435425,163,278,26,52,30.0842,9,8,17,35,-24.833566,262,11106,789,7642,725,34,2020
Augsburg,36.014441,57.146661,32.225632,50.326763,115,290,36,54,34.4781,10,6,18,36,-18.101131000000002,121,10711,702,7223,871,34,2020
Bayer Leverkusen,47.275759,40.408205099999996,45.002422,38.8502011,228,172,53,39,50.0062,14,10,10,52,6.1522209,119,7617,813,12442,831,34,2020
Bayern Munich,75.93241,38.873343,68.354668,36.600098,424,157,99,44,67.0427,24,6,4,78,31.75457,117,7367,915,11380,702,34,2020
Borussia Dortmund,68.952083,39.4393671,63.590713,34.8927081,398,152,75,46,65.191,20,4,10,64,28.6980049,129,7823,795,12292,754,34,2020
Borussia M.Gladbach,54.109291,44.712986,45.773941,40.166349,228,213,64,56,52.1787,13,10,11,49,5.607592,130,9629,827,10774,833,34,2020
Eintracht Frankfurt,60.525321,47.733411,54.463366,43.057048,242,219,69,53,56.2753,16,12,6,60,11.406318,132,7806,884,9357,739,34,2020
FC Cologne,39.63866,53.1819894,35.091989,46.2291594,144,252,34,60,37.7111,8,9,17,33,-11.1371704,134,10288,731,8194,795,34,2020
Freiburg,45.113868,52.977792,40.567368,48.431225,151,218,52,52,41.184599999999996,12,9,13,45,-7.863857000000001,135,9815,776,8477,710,34,2020
Hertha Berlin,40.7140405,46.693312,36.1676053,40.631264,170,208,41,52,43.2071,8,11,15,35,-4.463658699999999,122,8109,748,8763,805,34,2020
Hoffenheim,50.3240181,52.880712,45.7774431,46.060876,243,218,52,54,45.1822,11,10,13,43,-0.28343290000000054,120,9296,839,9503,763,34,2020
Mainz 05,48.460541,52.198873,44.671812,47.066685,192,219,39,56,44.366,10,9,15,39,-2.394873,125,11177,887,6244,740,34,2020
RasenBallsport Leipzig,67.142952,29.236874,59.565362,26.963542,335,129,60,32,71.422,19,8,7,65,32.601820000000004,136,7442,890,11157,791,34,2020
Schalke 04,27.659775,70.663009,25.214052,64.578699,135,297,25,86,20.4736,3,7,24,16,-39.364647,124,9584,709,7867,1002,34,2020
Union Berlin,46.001201,43.506806,40.564076,39.718088800000004,136,189,50,43,51.7059,12,14,8,50,0.845987200000001,240,11115,703,8367,720,34,2020
VfB Stuttgart,52.178271,53.792773,46.007312999999996,48.488428,220,275,56,55,47.1796,12,9,13,45,-2.4811149999999995,133,8498,793,9637,969,34,2020
Werder Bremen,32.510161000000004,53.698999,28.721437,48.923369,134,250,36,57,33.745599999999996,7,10,17,31,-20.201932,123,10367,712,8046,889,34,2020
Wolfsburg,51.594277,39.15972,49.320957,35.262087,252,174,61,37,55.3114,17,10,7,61,14.058869999999999,131,8250,876,8635,750,34,2020
Arminia Bielefeld,27.224387,69.665552,25.708908,64.361262,158,336,27,53,22.0246,5,13,16,28,-38.652353999999995,262,11039,806,6291,678,34,2021
Augsburg,38.950649,65.0222095,35.161756,61.2335535,160,268,39,56,33.6577,10,8,16,38,-26.0717975,121,10018,779,6161,763,34,2021
Bayer Leverkusen,66.312395,45.015163,61.765734,41.98406,283,232,80,47,59.2304,19,7,8,64,19.781674000000002,119,7933,665,10249,861,34,2021
Bayern Munich,99.905525,38.609638,96.116649,37.094167,522,162,97,37,78.8344,24,5,5,77,59.022482000000004,117,6445,818,12840,759,34,2021
Bochum,44.781796,58.17845,40.235229,52.116231,131,267,38,52,42.8655,12,6,16,42,-11.881002,268,8616,798,6669,686,34,2021
Borussia Dortmund,65.64627899999999,47.673329,57.310899,43.126752,306,198,85,52,58.300000000000004,22,3,9,69,14.184147,129,7526,748,12066,838,34,2021
Borussia M.Gladbach,59.922025,60.71194,54.617583,56.923075,250,206,54,61,49.7428,12,9,13,45,-2.305492,130,8197,744,10482,930,34,2021
Eintracht Frankfurt,41.650022,54.381781000000004,40.134465,51.350674,164,266,45,49,39.6309,10,12,12,42,-11.216209000000001,132,9106,905,8777,709,34,2021
FC Cologne,52.300107,53.092438,51.542407,52.334668,231,208,52,49,49.0441,14,10,10,52,-0.7922610000000005,134,6726,910,8706,837,34,2021
Freiburg,57.728731,49.084705,53.115849,47.569153,241,247,58,46,52.9271,15,10,9,55,5.546696000000001,135,8483,731,7601,665,34,2021
Greuther Fuerth,30.635762500000002,60.544376,26.8469585,55.997716000000004,108,259,28,82,26.4837,3,9,22,18,-29.1507575,267,9739,793,7009,788,34,2021
Hertha Berlin,37.894818,58.790993,35.621482,52.72878,130,264,37,71,37.9523,9,6,19,33,-17.107298,122,9760,697,7124,956,34,2021
Hoffenheim,59.76566,57.266329,59.76566,54.168829,269,176,58,60,46.6967,13,7,14,46,5.596830999999998,120,8767,763,9668,662,34,2021
