player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
Julian Brandt,de GER,"MF,FW",Dortmund,27-238,1996,16,14,"1,213",13.5,5,7,12,5,0,0,1,0,3.0,3.0,6.5,9.5,38,54,94,0.37,0.52,0.89,0.37,0.89,0.22,0.49,0.70,0.22,0.70,Matches
Tim Breithaupt,de GER,MF,Augsburg,21-322,2002,10,2,259,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,0,3,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Maximilian Breunig,de GER,FW,Freiburg,23-134,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
John Brooks,us USA,DF,Hoffenheim,30-332,1993,13,13,"1,080",12.0,1,0,1,1,0,0,3,0,2.0,2.0,0.1,2.1,2,39,1,0.08,0.00,0.08,0.08,0.08,0.17,0.00,0.17,0.17,0.17,Matches
Moritz Broschinski,de GER,"FW,MF",Bochum,23-094,2000,10,2,306,3.4,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.8,4,4,16,0.00,0.00,0.00,0.00,0.00,0.19,0.04,0.22,0.19,0.22,Matches
Alexander Brunst,de GER,GK,Darmstadt 98,28-172,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marius Bülter,de GER,"DF,FW",Hoffenheim,30-272,1993,16,9,783,8.7,1,3,4,1,0,0,1,0,1.0,1.0,2.2,3.2,24,29,73,0.11,0.34,0.46,0.11,0.46,0.11,0.26,0.37,0.11,0.37,Matches
Jonathan Burkardt,de GER,"MF,FW",Mainz 05,23-168,2000,5,2,187,2.1,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,5,6,15,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27,Matches
Oliver Burke,sct SCO,FW,Werder Bremen,26-263,1997,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marnon Busch,de GER,DF,Heidenheim,29-018,1994,6,3,284,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,8,18,16,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10,Matches
Aurélio Buta,pt POR,"DF,MF",Eint Frankfurt,26-319,1997,16,12,941,10.5,1,1,2,1,0,0,3,0,0.3,0.3,0.7,1.0,34,48,71,0.10,0.10,0.19,0.10,0.19,0.03,0.07,0.09,0.03,0.09,Matches
Jamie Bynoe-Gittens,eng ENG,"FW,DF",Dortmund,19-140,2004,8,7,397,4.4,1,1,2,1,0,0,0,0,1.1,1.1,0.6,1.8,22,11,38,0.23,0.23,0.45,0.23,0.45,0.26,0.14,0.40,0.26,0.40,Matches
