,ID,Name,Team,Position,Marktwert,Trend,Bild,Status,Punkteschnitt,Punktetotal,UserID,TeamID,TeamCover
59,2199,Josha Vagnoman,Stuttgart,2,10709700.0,2,https://kickbase.b-cdn.net/pool/playersbig/2199.png,0,46,277,None,9,https://kickbase.b-cdn.net/team/2013/07/30/eea01bf0ab1145059d44f2585b352081.jpg
60,1823,Milos Veljkovic,Bremen,2,4770625.0,2,https://kickbase.b-cdn.net/pool/playersbig/1823.png,2,73,946,None,10,https://kickbase.b-cdn.net/team/2013/07/30/f5ee82a13bc74c728dbd61672eafb76c.jpg
61,2664,Ruben Vargas,Augsburg,3,1717856.0,2,https://kickbase.b-cdn.net/pool/playersbig/2664.png,0,33,464,None,13,https://kickbase.b-cdn.net/team/2013/07/30/c7c9b0bd44694939a43e5bd3fb3c6364.jpg
62,4258,Oscar Vilhelmsson,Darmstadt,4,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/4258.png,2,18,161,None,42,None
63,477,Kevin Vogt,Hoffenheim,2,9057747.0,1,https://kickbase.b-cdn.net/pool/playersbig/477.png,0,75,1201,2627255,14,https://kickbase.b-cdn.net/team/2013/07/30/e2f816c2f6de4273945bcf96c70fcff7.jpg
64,579,Kevin Volland,Union,4,11479997.0,1,https://kickbase.b-cdn.net/pool/playersbig/579.png,0,50,503,None,40,None
65,737,Luca Waldschmidt,Köln,4,5927295.0,2,https://kickbase.b-cdn.net/pool/playersbig/737.png,0,65,982,2627255,28,None
66,3004,Aster Jan Vranckx,Wolfsburg,3,3518922.0,2,https://kickbase.b-cdn.net/pool/playersbig/3004.png,0,40,481,None,11,https://kickbase.b-cdn.net/team/2013/07/30/aaea46b304994c1694bda4880791b280.jpg
67,1330,Julian Weigl,M-Gladbach,3,9800435.0,2,https://kickbase.b-cdn.net/pool/playersbig/1330.png,0,78,1172,None,15,https://kickbase.b-cdn.net/team/2013/07/30/d91892b110704f76a6d787c5078f3030.jpg
68,2229,Wout Weghorst,Hoffenheim,4,12441182.0,1,https://kickbase.b-cdn.net/pool/playersbig/2229.png,0,91,1090,2073012,14,https://kickbase.b-cdn.net/team/2013/07/30/e2f816c2f6de4273945bcf96c70fcff7.jpg
